,ts_code,stk_code,list_date,industry,market,total_mv,profit,year,month
145,113539.SH,603079.SH,2019-07-26,食品,主板,38.304,0.08,2019,7
146,113540.SH,603636.SH,2019-08-05,软件服务,主板,48.71831366,0.004099999999999966,2019,8
147,113541.SH,603165.SH,2019-08-13,造纸,主板,30.504544,0.00010000000000005117,2019,8
148,113542.SH,603898.SH,2019-08-23,家居用品,主板,46.99738413,0.03879999999999995,2019,8
149,113543.SH,603833.SH,2019-09-04,家居用品,主板,504.18784204,0.2364,2019,9
150,123029.SZ,300677.SZ,2019-09-10,医疗保健,创业板,33.65094893,0.19,2019,9
151,128071.SZ,002228.SZ,2019-09-16,广告包装,中小板,48.768856729999996,0.045190000000000057,2019,9
152,128072.SZ,002842.SZ,2019-09-16,小金属,中小板,44.10101696,0.10099999999999994,2019,9
153,123030.SZ,300040.SZ,2019-09-12,电气设备,创业板,20.85634584,0.12299999999999997,2019,9
154,128073.SZ,002615.SZ,2019-09-11,家居用品,中小板,24.70608,0.11,2019,9
155,123031.SZ,300655.SZ,2019-09-26,化工原料,创业板,30.981756939999997,0.16950000000000004,2019,9
156,113544.SH,603866.SH,2019-10-15,食品,主板,318.63262704,0.14010000000000006,2019,10
157,128074.SZ,002174.SZ,2019-10-21,互联网,中小板,149.26260266,0.10010000000000005,2019,10
158,128075.SZ,002406.SZ,2019-10-31,汽车配件,中小板,29.733,0.05,2019,10
159,123032.SZ,300591.SZ,2019-10-31,服饰,创业板,17.5344,0.03128,2019,10
160,113545.SH,603113.SH,2019-11-07,化工原料,主板,70.36529727,0.012000000000000028,2019,11
161,128076.SZ,002722.SZ,2019-11-08,纺织机械,中小板,26.249794679999997,0.07,2019,11
162,128077.SZ,002928.SZ,2019-11-07,空运,中小板,69.146325,0.16200000000000003,2019,11
163,128079.SZ,002846.SZ,2019-11-21,广告包装,中小板,26.88465408,0.059899999999999946,2019,11
164,128078.SZ,002368.SZ,2019-11-08,软件服务,中小板,140.71585759,0.175,2019,11
165,113546.SH,603320.SH,2019-11-21,机械基件,主板,16.07,0.02,2019,11
166,113547.SH,603612.SH,2019-11-22,矿物制品,主板,34.204166289999996,0.031099999999999996,2019,11
167,127014.SZ,000065.SZ,2019-11-21,建筑工程,主板,61.1756801,0.07,2019,11
168,110059.SH,600000.SH,2019-11-15,银行,主板,3566.27776824,0.035,2019,11
169,110060.SH,600326.SH,2019-11-28,水泥,主板,59.27883894,0.06489999999999994,2019,11
170,113548.SH,603688.SH,2019-11-22,矿物制品,主板,50.86432728,0.10099999999999994,2019,11
171,123033.SZ,300748.SZ,2019-11-25,元器件,创业板,166.85800228,0.13,2019,11
172,123034.SZ,300265.SZ,2019-11-28,电气设备,创业板,26.08875,0.030999999999999944,2019,11
173,110061.SH,600674.SH,2019-12-02,水力发电,主板,426.56741251,0.15549999999999997,2019,12
174,123035.SZ,300296.SZ,2019-12-09,半导体,创业板,162.23552555,0.09,2019,12
175,113549.SH,603861.SH,2019-12-11,电气设备,主板,38.05256056,0.08,2019,12
176,113550.SH,603035.SH,2019-12-12,汽车配件,主板,28.308,0.08,2019,12
177,113551.SH,603806.SH,2019-12-11,塑料,主板,229.4214,0.195,2019,12
178,128080.SZ,002352.SZ,2019-12-09,仓储物流,中小板,1616.17966552,0.15,2019,12
179,128081.SZ,002203.SZ,2019-12-16,铜,中小板,192.28258205,0.09997,2019,12
180,113552.SH,603960.SH,2019-12-19,专用机械,主板,55.065608,0.21209999999999993,2019,12
181,110062.SH,600498.SH,2019-12-25,通信设备,主板,316.16585118,0.20299999999999996,2019,12
182,128083.SZ,002376.SZ,2019-12-31,IT设备,中小板,80.55120063999999,0.18,2019,12
